Temperatura poczƒÖtkowa;Wsp√≥≈Çczynnik ch≈Çodzenia;Liczba iteracji;Cmax (≈õrednia);;;;;;;
116,6666667;0,85;450;153;;;;;;;
200;0,896666667;450;153;;;;;;;
50;0,85;450;153,01;;;;;;;
66,66666667;0,85;450;153,01;;;;;;;
150;0,865555556;450;153,01;;;;;;;
50;0,881111111;400;153,02;;;n best pomiarow;Temperatura poczπtkowa;Wsp ch≥odzenia;Liczba iteracji;Cmax
50;0,927777778;450;153,02;;;30;101,67;0,89;431,67;153,02
83,33333333;0,865555556;450;153,02;;;100;114,81;0,9;423,74;153,04
100;0,85;400;153,02;;;;;;;
100;0,881111111;450;153,02;;;;;;;
133,3333333;0,865555556;450;153,02;;;;;;;
133,3333333;0,881111111;450;153,02;;;;;;;
150;0,927777778;450;153,02;;;;;;;
166,6666667;0,85;450;153,02;;;;;;;
166,6666667;0,943333333;450;153,02;;;;;;;
183,3333333;0,85;350;153,02;;;;;;;
50;0,85;350;153,03;;;;;;;
50;0,865555556;450;153,03;;;;;;;
50;0,881111111;450;153,03;;;;;;;
50;0,927777778;400;153,03;;;;;;;
50;0,943333333;450;153,03;;;;;;;
66,66666667;0,943333333;400;153,03;;;;;;;
66,66666667;0,943333333;450;153,03;;;;;;;
83,33333333;0,881111111;400;153,03;;;;;;;
100;0,896666667;400;153,03;;;;;;;
100;0,896666667;450;153,03;;;;;;;
116,6666667;0,881111111;450;153,03;;;;;;;
116,6666667;0,927777778;400;153,03;;;;;;;
116,6666667;0,943333333;450;153,03;;;;;;;
133,3333333;0,85;450;153,03;;;;;;;
166,6666667;0,881111111;400;153,03;;;;;;;
183,3333333;0,865555556;450;153,03;;;;;;;
50;0,912222222;400;153,04;;;;;;;
50;0,912222222;450;153,04;;;;;;;
66,66666667;0,865555556;400;153,04;;;;;;;
66,66666667;0,865555556;450;153,04;;;;;;;
66,66666667;0,881111111;450;153,04;;;;;;;
66,66666667;0,927777778;450;153,04;;;;;;;
83,33333333;0,85;450;153,04;;;;;;;
83,33333333;0,881111111;450;153,04;;;;;;;
83,33333333;0,927777778;450;153,04;;;;;;;
100;0,85;450;153,04;;;;;;;
100;0,865555556;450;153,04;;;;;;;
100;0,896666667;350;153,04;;;;;;;
116,6666667;0,881111111;400;153,04;;;;;;;
116,6666667;0,896666667;450;153,04;;;;;;;
116,6666667;0,927777778;450;153,04;;;;;;;
116,6666667;0,958888889;450;153,04;;;;;;;
150;0,896666667;400;153,04;;;;;;;
166,6666667;0,927777778;450;153,04;;;;;;;
166,6666667;0,943333333;400;153,04;;;;;;;
183,3333333;0,85;400;153,04;;;;;;;
200;0,865555556;450;153,04;;;;;;;
50;0,865555556;400;153,05;;;;;;;
50;0,958888889;400;153,05;;;;;;;
50;0,958888889;450;153,05;;;;;;;
66,66666667;0,896666667;450;153,05;;;;;;;
83,33333333;0,912222222;400;153,05;;;;;;;
83,33333333;0,958888889;400;153,05;;;;;;;
100;0,881111111;400;153,05;;;;;;;
100;0,912222222;400;153,05;;;;;;;
100;0,927777778;450;153,05;;;;;;;
100;0,943333333;450;153,05;;;;;;;
116,6666667;0,85;400;153,05;;;;;;;
133,3333333;0,85;400;153,05;;;;;;;
133,3333333;0,896666667;400;153,05;;;;;;;
150;0,881111111;450;153,05;;;;;;;
150;0,896666667;450;153,05;;;;;;;
150;0,943333333;450;153,05;;;;;;;
166,6666667;0,912222222;300;153,05;;;;;;;
183,3333333;0,912222222;450;153,05;;;;;;;
183,3333333;0,943333333;450;153,05;;;;;;;
183,3333333;0,958888889;450;153,05;;;;;;;
200;0,85;400;153,05;;;;;;;
200;0,881111111;450;153,05;;;;;;;
50;0,943333333;400;153,06;;;;;;;
66,66666667;0,85;400;153,06;;;;;;;
66,66666667;0,881111111;300;153,06;;;;;;;
66,66666667;0,974444444;450;153,06;;;;;;;
83,33333333;0,896666667;400;153,06;;;;;;;
83,33333333;0,896666667;450;153,06;;;;;;;
100;0,912222222;450;153,06;;;;;;;
100;0,943333333;350;153,06;;;;;;;
133,3333333;0,881111111;400;153,06;;;;;;;
133,3333333;0,912222222;450;153,06;;;;;;;
133,3333333;0,943333333;400;153,06;;;;;;;
150;0,85;450;153,06;;;;;;;
150;0,881111111;400;153,06;;;;;;;
150;0,912222222;450;153,06;;;;;;;
150;0,958888889;400;153,06;;;;;;;
166,6666667;0,85;400;153,06;;;;;;;
166,6666667;0,881111111;450;153,06;;;;;;;
166,6666667;0,896666667;400;153,06;;;;;;;
166,6666667;0,912222222;450;153,06;;;;;;;
183,3333333;0,85;450;153,06;;;;;;;
200;0,912222222;400;153,06;;;;;;;
200;0,912222222;450;153,06;;;;;;;
50;0,881111111;350;153,07;;;;;;;
66,66666667;0,85;350;153,07;;;;;;;
66,66666667;0,896666667;400;153,07;;;;;;;
83,33333333;0,85;400;153,07;;;;;;;
83,33333333;0,896666667;350;153,07;;;;;;;
83,33333333;0,912222222;450;153,07;;;;;;;
83,33333333;0,943333333;450;153,07;;;;;;;
116,6666667;0,865555556;400;153,07;;;;;;;
116,6666667;0,865555556;450;153,07;;;;;;;
116,6666667;0,896666667;400;153,07;;;;;;;
133,3333333;0,85;300;153,07;;;;;;;
133,3333333;0,896666667;450;153,07;;;;;;;
133,3333333;0,912222222;400;153,07;;;;;;;
133,3333333;0,927777778;400;153,07;;;;;;;
133,3333333;0,943333333;450;153,07;;;;;;;
133,3333333;0,958888889;450;153,07;;;;;;;
150;0,912222222;400;153,07;;;;;;;
150;0,943333333;400;153,07;;;;;;;
166,6666667;0,865555556;300;153,07;;;;;;;
166,6666667;0,865555556;400;153,07;;;;;;;
183,3333333;0,865555556;400;153,07;;;;;;;
183,3333333;0,896666667;450;153,07;;;;;;;
183,3333333;0,927777778;350;153,07;;;;;;;
183,3333333;0,927777778;400;153,07;;;;;;;
200;0,927777778;350;153,07;;;;;;;
200;0,927777778;450;153,07;;;;;;;
50;0,881111111;300;153,08;;;;;;;
50;0,896666667;400;153,08;;;;;;;
50;0,974444444;450;153,08;;;;;;;
66,66666667;0,958888889;400;153,08;;;;;;;
83,33333333;0,85;350;153,08;;;;;;;
83,33333333;0,865555556;400;153,08;;;;;;;
133,3333333;0,865555556;350;153,08;;;;;;;
133,3333333;0,865555556;400;153,08;;;;;;;
133,3333333;0,927777778;450;153,08;;;;;;;
166,6666667;0,85;350;153,08;;;;;;;
166,6666667;0,865555556;350;153,08;;;;;;;
166,6666667;0,865555556;450;153,08;;;;;;;
166,6666667;0,896666667;350;153,08;;;;;;;
166,6666667;0,927777778;400;153,08;;;;;;;
166,6666667;0,958888889;400;153,08;;;;;;;
166,6666667;0,958888889;450;153,08;;;;;;;
183,3333333;0,881111111;450;153,08;;;;;;;
183,3333333;0,896666667;350;153,08;;;;;;;
200;0,85;450;153,08;;;;;;;
200;0,865555556;350;153,08;;;;;;;
200;0,865555556;400;153,08;;;;;;;
200;0,881111111;400;153,08;;;;;;;
200;0,943333333;450;153,08;;;;;;;
50;0,896666667;450;153,09;;;;;;;
50;0,927777778;350;153,09;;;;;;;
50;0,943333333;300;153,09;;;;;;;
66,66666667;0,881111111;400;153,09;;;;;;;
66,66666667;0,912222222;400;153,09;;;;;;;
66,66666667;0,912222222;450;153,09;;;;;;;
66,66666667;0,958888889;450;153,09;;;;;;;
83,33333333;0,912222222;350;153,09;;;;;;;
83,33333333;0,927777778;400;153,09;;;;;;;
83,33333333;0,943333333;400;153,09;;;;;;;
100;0,865555556;400;153,09;;;;;;;
100;0,974444444;450;153,09;;;;;;;
116,6666667;0,912222222;350;153,09;;;;;;;
133,3333333;0,85;350;153,09;;;;;;;
133,3333333;0,881111111;300;153,09;;;;;;;
150;0,85;350;153,09;;;;;;;
150;0,881111111;300;153,09;;;;;;;
166,6666667;0,85;300;153,09;;;;;;;
166,6666667;0,974444444;400;153,09;;;;;;;
200;0,881111111;350;153,09;;;;;;;
200;0,896666667;350;153,09;;;;;;;
200;0,927777778;400;153,09;;;;;;;
50;0,85;300;153,1;;;;;;;
50;0,85;400;153,1;;;;;;;
50;0,865555556;350;153,1;;;;;;;
66,66666667;0,865555556;350;153,1;;;;;;;
66,66666667;0,881111111;350;153,1;;;;;;;
66,66666667;0,912222222;300;153,1;;;;;;;
66,66666667;0,927777778;350;153,1;;;;;;;
100;0,85;300;153,1;;;;;;;
100;0,927777778;350;153,1;;;;;;;
100;0,958888889;450;153,1;;;;;;;
116,6666667;0,865555556;350;153,1;;;;;;;
116,6666667;0,881111111;350;153,1;;;;;;;
116,6666667;0,912222222;400;153,1;;;;;;;
116,6666667;0,912222222;450;153,1;;;;;;;
116,6666667;0,927777778;300;153,1;;;;;;;
133,3333333;0,958888889;400;153,1;;;;;;;
150;0,865555556;400;153,1;;;;;;;
150;0,896666667;300;153,1;;;;;;;
166,6666667;0,881111111;350;153,1;;;;;;;
166,6666667;0,912222222;400;153,1;;;;;;;
183,3333333;0,912222222;350;153,1;;;;;;;
183,3333333;0,912222222;400;153,1;;;;;;;
183,3333333;0,927777778;450;153,1;;;;;;;
200;0,85;300;153,1;;;;;;;
50;0,896666667;350;153,11;;;;;;;
83,33333333;0,865555556;350;153,11;;;;;;;
83,33333333;0,927777778;350;153,11;;;;;;;
100;0,927777778;400;153,11;;;;;;;
150;0,85;400;153,11;;;;;;;
150;0,881111111;350;153,11;;;;;;;
166,6666667;0,896666667;450;153,11;;;;;;;
183,3333333;0,896666667;400;153,11;;;;;;;
183,3333333;0,912222222;300;153,11;;;;;;;
183,3333333;0,943333333;400;153,11;;;;;;;
200;0,896666667;400;153,11;;;;;;;
200;0,958888889;450;153,11;;;;;;;
50;0,912222222;350;153,12;;;;;;;
50;0,958888889;350;153,12;;;;;;;
66,66666667;0,865555556;300;153,12;;;;;;;
100;0,896666667;300;153,12;;;;;;;
116,6666667;0,896666667;350;153,12;;;;;;;
116,6666667;0,943333333;400;153,12;;;;;;;
116,6666667;0,958888889;400;153,12;;;;;;;
133,3333333;0,896666667;350;153,12;;;;;;;
133,3333333;0,912222222;300;153,12;;;;;;;
133,3333333;0,927777778;350;153,12;;;;;;;
150;0,865555556;350;153,12;;;;;;;
150;0,927777778;400;153,12;;;;;;;
150;0,974444444;400;153,12;;;;;;;
166,6666667;0,881111111;300;153,12;;;;;;;
166,6666667;0,896666667;300;153,12;;;;;;;
166,6666667;0,974444444;450;153,12;;;;;;;
200;0,85;350;153,12;;;;;;;
200;0,865555556;300;153,12;;;;;;;
66,66666667;0,85;300;153,13;;;;;;;
66,66666667;0,912222222;350;153,13;;;;;;;
66,66666667;0,927777778;400;153,13;;;;;;;
66,66666667;0,958888889;350;153,13;;;;;;;
83,33333333;0,881111111;300;153,13;;;;;;;
83,33333333;0,881111111;350;153,13;;;;;;;
100;0,85;350;153,13;;;;;;;
100;0,865555556;350;153,13;;;;;;;
100;0,912222222;300;153,13;;;;;;;
100;0,943333333;400;153,13;;;;;;;
116,6666667;0,85;300;153,13;;;;;;;
116,6666667;0,943333333;350;153,13;;;;;;;
150;0,943333333;350;153,13;;;;;;;
166,6666667;0,943333333;350;153,13;;;;;;;
200;0,912222222;350;153,13;;;;;;;
50;0,974444444;400;153,14;;;;;;;
66,66666667;0,896666667;350;153,14;;;;;;;
83,33333333;0,865555556;300;153,14;;;;;;;
83,33333333;0,896666667;250;153,14;;;;;;;
83,33333333;0,943333333;300;153,14;;;;;;;
83,33333333;0,943333333;350;153,14;;;;;;;
100;0,958888889;400;153,14;;;;;;;
116,6666667;0,85;250;153,14;;;;;;;
116,6666667;0,85;350;153,14;;;;;;;
133,3333333;0,865555556;300;153,14;;;;;;;
133,3333333;0,881111111;350;153,14;;;;;;;
133,3333333;0,927777778;300;153,14;;;;;;;
150;0,958888889;450;153,14;;;;;;;
166,6666667;0,912222222;350;153,14;;;;;;;
183,3333333;0,881111111;250;153,14;;;;;;;
200;0,958888889;350;153,14;;;;;;;
66,66666667;0,927777778;300;153,15;;;;;;;
83,33333333;0,85;250;153,15;;;;;;;
83,33333333;0,85;300;153,15;;;;;;;
100;0,881111111;350;153,15;;;;;;;
100;0,943333333;300;153,15;;;;;;;
116,6666667;0,896666667;250;153,15;;;;;;;
116,6666667;0,943333333;300;153,15;;;;;;;
133,3333333;0,974444444;450;153,15;;;;;;;
166,6666667;0,958888889;350;153,15;;;;;;;
183,3333333;0,881111111;350;153,15;;;;;;;
183,3333333;0,881111111;400;153,15;;;;;;;
183,3333333;0,927777778;300;153,15;;;;;;;
183,3333333;0,943333333;350;153,15;;;;;;;
200;0,943333333;400;153,15;;;;;;;
200;0,958888889;400;153,15;;;;;;;
50;0,943333333;350;153,16;;;;;;;
66,66666667;0,974444444;400;153,16;;;;;;;
83,33333333;0,958888889;450;153,16;;;;;;;
100;0,896666667;250;153,16;;;;;;;
100;0,912222222;350;153,16;;;;;;;
100;0,974444444;400;153,16;;;;;;;
116,6666667;0,912222222;300;153,16;;;;;;;
116,6666667;0,927777778;350;153,16;;;;;;;
133,3333333;0,958888889;350;153,16;;;;;;;
150;0,896666667;350;153,16;;;;;;;
150;0,927777778;350;153,16;;;;;;;
166,6666667;0,865555556;250;153,16;;;;;;;
183,3333333;0,865555556;350;153,16;;;;;;;
50;0,85;250;153,17;;;;;;;
66,66666667;0,896666667;300;153,17;;;;;;;
66,66666667;0,912222222;250;153,17;;;;;;;
66,66666667;0,943333333;350;153,17;;;;;;;
83,33333333;0,896666667;300;153,17;;;;;;;
100;0,958888889;300;153,17;;;;;;;
116,6666667;0,881111111;300;153,17;;;;;;;
150;0,865555556;300;153,17;;;;;;;
50;0,865555556;300;153,18;;;;;;;
50;0,958888889;300;153,18;;;;;;;
83,33333333;0,974444444;450;153,18;;;;;;;
100;0,865555556;300;153,18;;;;;;;
100;0,974444444;350;153,18;;;;;;;
116,6666667;0,958888889;300;153,18;;;;;;;
116,6666667;0,958888889;350;153,18;;;;;;;
116,6666667;0,974444444;450;153,18;;;;;;;
133,3333333;0,896666667;300;153,18;;;;;;;
150;0,85;300;153,18;;;;;;;
166,6666667;0,927777778;350;153,18;;;;;;;
183,3333333;0,865555556;300;153,18;;;;;;;
183,3333333;0,881111111;300;153,18;;;;;;;
183,3333333;0,927777778;250;153,18;;;;;;;
200;0,943333333;350;153,18;;;;;;;
200;0,974444444;450;153,18;;;;;;;
50;0,881111111;250;153,19;;;;;;;
50;0,912222222;300;153,19;;;;;;;
66,66666667;0,943333333;300;153,19;;;;;;;
150;0,85;250;153,19;;;;;;;
150;0,958888889;350;153,19;;;;;;;
183,3333333;0,85;300;153,19;;;;;;;
183,3333333;0,865555556;250;153,19;;;;;;;
183,3333333;0,974444444;400;153,19;;;;;;;
200;0,896666667;250;153,19;;;;;;;
50;0,896666667;250;153,2;;;;;;;
50;0,927777778;300;153,2;;;;;;;
66,66666667;0,896666667;250;153,2;;;;;;;
100;0,881111111;300;153,2;;;;;;;
100;0,958888889;350;153,2;;;;;;;
116,6666667;0,865555556;300;153,2;;;;;;;
133,3333333;0,85;250;153,2;;;;;;;
133,3333333;0,943333333;350;153,2;;;;;;;
133,3333333;0,958888889;300;153,2;;;;;;;
150;0,912222222;300;153,2;;;;;;;
166,6666667;0,896666667;250;153,2;;;;;;;
200;0,896666667;300;153,2;;;;;;;
200;0,912222222;300;153,2;;;;;;;
200;0,943333333;300;153,2;;;;;;;
66,66666667;0,85;250;153,21;;;;;;;
83,33333333;0,927777778;300;153,21;;;;;;;
83,33333333;0,974444444;400;153,21;;;;;;;
116,6666667;0,912222222;250;153,21;;;;;;;
150;0,865555556;250;153,21;;;;;;;
150;0,896666667;250;153,21;;;;;;;
150;0,974444444;450;153,21;;;;;;;
166,6666667;0,943333333;250;153,21;;;;;;;
166,6666667;0,943333333;300;153,21;;;;;;;
183,3333333;0,943333333;300;153,21;;;;;;;
183,3333333;0,958888889;400;153,21;;;;;;;
183,3333333;0,974444444;450;153,21;;;;;;;
100;0,927777778;300;153,22;;;;;;;
133,3333333;0,912222222;350;153,22;;;;;;;
150;0,927777778;250;153,22;;;;;;;
150;0,943333333;300;153,22;;;;;;;
166,6666667;0,927777778;300;153,22;;;;;;;
183,3333333;0,896666667;300;153,22;;;;;;;
200;0,865555556;250;153,22;;;;;;;
50;0,865555556;250;153,23;;;;;;;
83,33333333;0,881111111;250;153,23;;;;;;;
83,33333333;0,912222222;300;153,23;;;;;;;
100;0,85;250;153,23;;;;;;;
133,3333333;0,974444444;400;153,23;;;;;;;
66,66666667;0,865555556;250;153,24;;;;;;;
116,6666667;0,974444444;400;153,24;;;;;;;
183,3333333;0,958888889;350;153,24;;;;;;;
50;0,896666667;300;153,25;;;;;;;
50;0,927777778;250;153,25;;;;;;;
83,33333333;0,912222222;250;153,25;;;;;;;
83,33333333;0,958888889;350;153,25;;;;;;;
116,6666667;0,85;200;153,25;;;;;;;
116,6666667;0,865555556;250;153,25;;;;;;;
150;0,927777778;300;153,25;;;;;;;
66,66666667;0,85;200;153,26;;;;;;;
66,66666667;0,927777778;250;153,26;;;;;;;
83,33333333;0,865555556;200;153,26;;;;;;;
100;0,912222222;250;153,26;;;;;;;
133,3333333;0,881111111;250;153,26;;;;;;;
133,3333333;0,943333333;300;153,26;;;;;;;
150;0,912222222;250;153,26;;;;;;;
150;0,943333333;250;153,26;;;;;;;
66,66666667;0,958888889;300;153,27;;;;;;;
183,3333333;0,85;250;153,27;;;;;;;
183,3333333;0,958888889;300;153,27;;;;;;;
50;0,943333333;250;153,28;;;;;;;
50;0,974444444;350;153,28;;;;;;;
83,33333333;0,958888889;300;153,28;;;;;;;
133,3333333;0,943333333;250;153,28;;;;;;;
150;0,912222222;350;153,28;;;;;;;
183,3333333;0,896666667;250;153,28;;;;;;;
50;0,865555556;200;153,29;;;;;;;
66,66666667;0,881111111;250;153,29;;;;;;;
66,66666667;0,974444444;350;153,29;;;;;;;
83,33333333;0,865555556;250;153,29;;;;;;;
83,33333333;0,896666667;200;153,29;;;;;;;
116,6666667;0,881111111;250;153,29;;;;;;;
116,6666667;0,896666667;300;153,29;;;;;;;
133,3333333;0,865555556;250;153,29;;;;;;;
150;0,85;200;153,29;;;;;;;
166,6666667;0,958888889;300;153,29;;;;;;;
50;0,85;200;153,3;;;;;;;
50;0,881111111;200;153,3;;;;;;;
100;0,865555556;200;153,3;;;;;;;
100;0,927777778;250;153,3;;;;;;;
116,6666667;0,896666667;200;153,3;;;;;;;
150;0,881111111;200;153,3;;;;;;;
166,6666667;0,85;250;153,3;;;;;;;
166,6666667;0,881111111;250;153,3;;;;;;;
200;0,881111111;250;153,3;;;;;;;
200;0,927777778;300;153,3;;;;;;;
50;0,912222222;250;153,31;;;;;;;
83,33333333;0,974444444;350;153,31;;;;;;;
100;0,912222222;200;153,31;;;;;;;
200;0,85;250;153,31;;;;;;;
83,33333333;0,974444444;300;153,32;;;;;;;
100;0,865555556;250;153,32;;;;;;;
150;0,865555556;200;153,32;;;;;;;
100;0,896666667;200;153,33;;;;;;;
100;0,927777778;200;153,33;;;;;;;
116,6666667;0,865555556;200;153,33;;;;;;;
116,6666667;0,881111111;200;153,33;;;;;;;
133,3333333;0,912222222;250;153,33;;;;;;;
166,6666667;0,974444444;350;153,33;;;;;;;
183,3333333;0,865555556;200;153,33;;;;;;;
183,3333333;0,912222222;250;153,33;;;;;;;
200;0,881111111;300;153,33;;;;;;;
100;0,881111111;250;153,34;;;;;;;
50;0,896666667;200;153,35;;;;;;;
83,33333333;0,927777778;250;153,35;;;;;;;
100;0,943333333;250;153,35;;;;;;;
133,3333333;0,865555556;200;153,35;;;;;;;
133,3333333;0,896666667;250;153,35;;;;;;;
133,3333333;0,974444444;350;153,35;;;;;;;
150;0,881111111;250;153,35;;;;;;;
200;0,974444444;400;153,35;;;;;;;
66,66666667;0,865555556;200;153,36;;;;;;;
66,66666667;0,912222222;200;153,36;;;;;;;
66,66666667;0,943333333;250;153,36;;;;;;;
83,33333333;0,912222222;200;153,36;;;;;;;
116,6666667;0,943333333;250;153,36;;;;;;;
150;0,927777778;200;153,36;;;;;;;
166,6666667;0,881111111;200;153,36;;;;;;;
166,6666667;0,912222222;250;153,36;;;;;;;
200;0,912222222;250;153,36;;;;;;;
66,66666667;0,974444444;300;153,37;;;;;;;
83,33333333;0,943333333;250;153,37;;;;;;;
116,6666667;0,974444444;350;153,37;;;;;;;
166,6666667;0,865555556;200;153,37;;;;;;;
200;0,865555556;200;153,37;;;;;;;
50;0,974444444;300;153,38;;;;;;;
